pid,Autor,Fecha ,Descripción  ,Medio
Bog1960_01,Anónimo,1960,Calles en Bogotá 1960,Foto Digital
Bog1970_02,Anónimo,1970,Bogotá Taxis 1970,Foto Digital
Bog1974_03,Biblioteca Digital de Bogotá,1974,Ciclistas en su paso por la Plaza de Bolívar. ,Foto Digital
Bog1967_04,Biblioteca Digital de Bogotá,1967,"Competencia ciclística, carrera 10 por Avenida Jiménez.",Foto Digital
Bog1950_05,Album Familiar Bogotá,1950,Matrimonio 1950-matrimonio 1900,Foto Digital
Bog1985_06,Album Familiar Bogotá,1985,Mis Adorados Nietos. Villa del Prado Bogotá,Foto Digital
Bog1965_07,Album Familiar Bogotá,1965,Desfile de la juventud,Foto Digital
Bog1951_08,Album Familiar Bogotá,1951,Del Lago Gaitan a Unilago,Foto Digital
Bog1950_09,Fototeca digital del archivo de Bogotá,1950,Ambulancia de la cruz roja,Foto Digital
Bog1954_10,Fototeca digital del archivo de Bogotá,1954,Banco de Bogota Carrera séptima,Foto Digital
