pid,label,autor,año ,descripción  ,Medio,url
bog1960_01,calles,Anónimo,1960,Calles en Bogotá 1960,Foto Digital,https://www.youtube.com/watch?v=rpZCaphPwSo
bog1970_02,autos,Anónimo,1970,Bogotá Taxis 1970,Foto Digital,https://www.youtube.com/watch?v=vPHUkypTOxw
bog1974_03,bicicletas,Biblioteca Digital de Bogotá,1974,Ciclistas en su paso por la Plaza de Bolívar. ,Foto Digital,https://www.youtube.com/watch?v=e8W_9T5Q75c
bog1967_04,ciclismo,Biblioteca Digital de Bogotá,1967,"Competencia ciclística, carrera 10 por Avenida Jiménez.",Foto Digital,https://www.youtube.com/watch?v=nKduOc6ZB8Y
bog1950_05,matrimonio,Album Familiar Bogotá,1950,Matrimonio 1950-matrimonio 1900,Foto Digital,https://www.youtube.com/watch?v=go6cnT0mOHg
bog1985_06,nietos,Album Familiar Bogotá,1985,Mis Adorados Nietos. Villa del Prado Bogotá,Foto Digital,https://www.youtube.com/watch?v=vJSN8XyCR7I
bog1965_07,desfiles,Album Familiar Bogotá,1965,Desfile de la juventud,Foto Digital,https://www.youtube.com/watch?v=G7mt_JGSWf0
bog1951_08,turismo,Album Familiar Bogotá,1951,Del Lago Gaitan a Unilago,Foto Digital,https://www.youtube.com/watch?v=hgsnIdL0I3w
bog1950_09,ambulancia,Fototeca digital del archivo de Bogotá,1950,Ambulancia de la cruz roja,Foto Digital,https://www.youtube.com/watch?v=BkuUTyWzp8o
bog1954_10,ciudad,Fototeca digital del archivo de Bogotá,1954,Banco de Bogota Carrera séptima,Foto Digital,https://www.youtube.com/watch?v=_fGueZqrcwg
